CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,Open_Year,Open_Month,Open_Day,Open_Hour,Open_Weekday
WBA000082,application,Web Based Application,WBS000055,IM0000021,Closed,4,4,4.0,0.776486429,incident,KM0000401,closed,5.0,2012-10-02 12:12:00,2014-02-04 09:38:00,2014-02-04 09:38:00,1132428333.0,Software,2.0,#MULTIVALUE,2012,10,2,12,1
WBA000124,application,Web Based Application,WBS000088,IM0000022,Closed,4,4,4.0,0.592713494,incident,KM0000611,closed,17.0,2012-10-15 15:50:00,,2013-11-14 13:33:00,6675416667.0,Software,1.0,SD0000043,2012,10,15,15,0
SBA000698,application,Server Based Application,WBS000090,IM0000023,Closed,3,3,3.0,0.025310167,incident,KM0000670,closed,1.0,2012-10-18 14:33:00,2013-12-12 10:23:00,2013-12-12 10:24:00,3114358056.0,Data,1.0,SD0000045,2012,10,18,14,3
WBA000082,application,Web Based Application,WBS000055,IM0000024,Closed,4,4,4.0,0.701704659,incident,KM0000401,closed,3.0,2012-10-23 12:01:00,2013-11-08 14:57:00,2013-11-08 14:58:00,2837950556.0,Other,1.0,SD0000046,2012,10,23,12,1
SUB000539,subapplication,Web Based Application,WBS000073,IM0000028,Closed,4,4,4.0,0.440612692,incident,KM0000852,closed,1.0,2012-11-21 11:53:00,2013-12-20 11:30:00,2013-12-20 11:31:00,1223748333.0,Other,1.0,SD0000053,2012,11,21,11,2
SUB000535,subapplication,Web Based Application,WBS000066,IM0000031,Closed,4,4,4.0,0.151630128,incident,KM0000928,closed,7.0,2012-12-05 15:17:00,2013-10-30 08:45:00,2013-10-30 08:45:00,3792777778.0,Unknown,1.0,SD0000055,2012,12,5,15,2
DTA000616,application,Desktop Application,WBS000092,IM0000033,Closed,3,3,3.0,0.860254961,incident,KM0001430,closed,17.0,2012-12-07 14:34:00,2013-11-30 10:39:00,2013-11-30 10:39:00,2626733889.0,Other,2.0,#MULTIVALUE,2012,12,7,14,4
WBA000082,application,Web Based Application,WBS000055,IM0000034,Closed,5,5,5.0,0.663615311,incident,KM0000401,closed,5.0,2012-12-10 14:44:00,2014-03-28 14:20:00,2014-03-28 14:20:00,9317808333.0,Other,2.0,#MULTIVALUE,2012,12,10,14,0
WBA000124,application,Web Based Application,WBS000088,IM0000035,Closed,4,4,4.0,0.42814765,incident,KM0000611,closed,6.0,2012-12-24 16:31:00,2013-11-14 09:49:00,2013-11-14 09:49:00,1930483333.0,Referred,1.0,SD0000058,2012,12,24,16,0
WBA000116,application,Web Based Application,WBS000066,IM0000038,Closed,4,4,4.0,0.070123275,incident,KM0000579,closed,4.0,2013-01-15 15:36:00,2014-01-29 15:01:00,2014-01-29 15:01:00,2781911944.0,Software,1.0,SD0000063,2013,1,15,15,1
WBA000124,application,Web Based Application,WBS000088,IM0000041,Closed,4,4,4.0,0.529580963,incident,KM0000611,closed,2.0,2013-01-22 16:38:00,2013-11-08 14:55:00,2013-11-08 14:55:00,2150785833.0,Other,1.0,SD0000065,2013,1,22,16,1
WBA000124,application,Web Based Application,WBS000088,IM0000042,Closed,4,4,4.0,0.898981779,incident,KM0000611,closed,12.0,2013-01-23 14:39:00,2013-11-08 15:21:00,2013-11-08 15:22:00,2142712778.0,No error - works as designed,1.0,SD0000068,2013,1,23,14,2
SUB000535,subapplication,Web Based Application,WBS000066,IM0000045,Closed,4,4,4.0,0.146862046,incident,KM0000928,closed,7.0,2013-01-30 16:37:00,2014-01-27 12:33:00,2014-01-27 12:33:00,1118525.0,Software,1.0,SD0000072,2013,1,30,16,2
SUB000535,subapplication,Web Based Application,WBS000066,IM0000046,Closed,4,4,4.0,0.941495195,incident,KM0000931,closed,3.0,2013-01-31 17:27:00,2014-02-12 09:05:00,2014-02-12 09:05:00,2760606389.0,Other,1.0,SD0000073,2013,1,31,17,3
WBA000082,application,Web Based Application,WBS000055,IM0000047,Closed,4,4,4.0,0.076103079,incident,KM0000401,closed,4.0,2013-02-04 14:38:00,2014-01-02 15:22:00,2014-01-02 15:22:00,2447233889.0,Other,1.0,SD0000074,2013,2,4,14,0
SBA000662,application,Server Based Application,WBS000071,IM0000048,Closed,5,5,5.0,0.748361437,request for information,KM0000524,closed,0.0,2013-02-06 14:07:00,2013-10-17 14:00:00,2013-10-17 14:00:00,3885555556.0,No error - works as designed,2.0,#MULTIVALUE,2013,2,6,14,2
SBA000607,application,Server Based Application,WBS000263,IM0000049,Closed,5,5,5.0,0.246183023,request for information,KM0000592,closed,11.0,2013-02-08 10:47:00,2013-10-17 15:40:00,2013-10-17 15:40:00,1852881944.0,Other,1.0,SD0000076,2013,2,8,10,4
SBA000263,application,Server Based Application,WBS000072,IM0000053,Closed,5,5,5.0,0.85372157,request for information,KM0001104,closed,2.0,2013-02-18 11:59:00,,2013-12-04 14:00:00,2774555556.0,Other,2.0,#MULTIVALUE,2013,2,18,11,0
WBA000124,application,Web Based Application,WBS000088,IM0000055,Closed,4,4,4.0,0.264909486,incident,KM0000611,closed,9.0,2013-02-19 11:52:00,2013-12-23 13:03:00,2013-12-23 13:04:00,205036.0,Other,1.0,SD0000081,2013,2,19,11,1
WBA000124,application,Web Based Application,WBS000088,IM0000056,Closed,4,4,4.0,0.243465909,incident,KM0000611,closed,2.0,2013-02-20 10:14:00,2013-11-08 13:56:00,2013-11-08 13:57:00,1935710556.0,Other,1.0,SD0000082,2013,2,20,10,2
SUB000433,subapplication,Web Based Application,WBS000073,IM0000057,Closed,4,4,4.0,0.121926581,incident,KM0000791,closed,1.0,2013-02-25 16:03:00,2014-03-12 10:15:00,2014-03-12 10:16:00,2764633056.0,Other,3.0,#MULTIVALUE,2013,2,25,16,0
WBA000124,application,Web Based Application,WBS000088,IM0000058,Closed,4,4,4.0,0.272361649,incident,KM0000611,closed,2.0,2013-02-26 16:44:00,2013-11-12 13:40:00,2013-11-12 13:40:00,61125.0,Other,1.0,SD0000085,2013,2,26,16,1
WBA000124,application,Web Based Application,WBS000088,IM0000059,Closed,4,4,4.0,0.153093248,incident,KM0000611,closed,2.0,2013-02-28 12:23:00,2013-12-03 10:36:00,2013-12-03 10:36:00,8867166667.0,Other,2.0,#MULTIVALUE,2013,2,28,12,3
WBA000133,application,Web Based Application,WBS000073,IM0000060,Closed,4,4,4.0,0.518267343,incident,KM0001633,closed,0.0,2013-02-28 16:49:00,2013-11-20 16:38:00,2013-11-20 16:38:00,1917175278.0,No error - works as designed,1.0,SD0000086,2013,2,28,16,3
SUB000431,subapplication,Web Based Application,WBS000066,IM0000061,Closed,5,5,5.0,0.433426008,request for information,KM0000603,closed,3.0,2013-03-01 10:19:00,,2014-01-27 12:44:00,2333.0,Software,2.0,#MULTIVALUE,2013,3,1,10,4
SUB000508,subapplication,Web Based Application,WBS000162,IM0000062,Closed,4,4,4.0,0.335109108,incident,KM0000553,closed,2.0,2013-03-04 12:31:00,2013-11-08 15:33:00,2013-11-08 15:33:00,4911166667.0,No error - works as designed,1.0,SD0000087,2013,3,4,12,0
WBA000124,application,Web Based Application,WBS000088,IM0000064,Closed,3,3,3.0,0.481872792,incident,KM0000611,closed,4.0,2013-03-05 13:58:00,2013-11-08 15:35:00,2013-11-08 15:35:00,2162222222.0,Software,1.0,SD0000090,2013,3,5,13,1
SBA000314,application,Server Based Application,WBS000054,IM0000067,Closed,5,5,5.0,0.719922533,incident,KM0000650,closed,25.0,2013-03-11 09:08:00,2013-10-09 13:41:00,2013-10-09 13:41:00,8739805556.0,Other,2.0,#MULTIVALUE,2013,3,11,9,0
SUB000508,subapplication,Web Based Application,WBS000162,IM0000068,Closed,4,4,4.0,0.466746714,incident,KM0000553,closed,8.0,2013-03-12 09:54:00,2013-11-08 15:34:00,2013-11-08 15:34:00,3197894444.0,No error - works as designed,1.0,SD0000093,2013,3,12,9,1
WBA000124,application,Web Based Application,WBS000088,IM0000071,Closed,4,4,4.0,0.640788604,incident,KM0000611,closed,4.0,2013-03-15 15:25:00,2014-01-06 11:50:00,2014-01-06 11:51:00,1922361111.0,Other,2.0,#MULTIVALUE,2013,3,15,15,4
SAP000005,application,SAP,WBS000271,IM0000073,Closed,5,5,5.0,0.683291495,request for information,KM0001124,closed,30.0,2013-03-21 14:54:00,2013-10-01 07:52:00,2013-10-01 07:52:00,6839630556.0,Other,1.0,SD0000099,2013,3,21,14,3
SUB000508,subapplication,Web Based Application,WBS000162,IM0000074,Closed,3,3,3.0,0.695187047,incident,KM0000553,closed,15.0,2013-03-26 12:23:00,2014-03-24 13:28:00,2014-03-24 13:28:00,1564190278.0,Other,2.0,#MULTIVALUE,2013,3,26,12,1
SUB000456,subapplication,Web Based Application,WBS000073,IM0000075,Closed,4,4,4.0,0.588797918,incident,KM0000741,closed,9.0,2013-03-27 10:07:00,2013-12-30 10:34:00,2013-12-30 10:36:00,37655.0,Data,3.0,#MULTIVALUE,2013,3,27,10,2
SAP000004,application,SAP,WBS000271,IM0000078,Closed,5,5,5.0,0.775691867,request for information,KM0001572,closed,37.0,2013-04-03 12:11:00,2013-10-17 11:43:00,2013-10-17 11:43:00,1459033333.0,Software,1.0,SD0000103,2013,4,3,12,2
SAP000003,application,SAP,WBS000271,IM0000080,Closed,4,4,4.0,0.282283906,incident,KM0001163,closed,26.0,2013-04-04 12:33:00,2014-01-16 14:20:00,2014-01-16 14:21:00,1806278611.0,Other,2.0,#MULTIVALUE,2013,4,4,12,3
SBA000462,application,Server Based Application,WBS000073,IM0000081,Closed,4,3,3.0,0.461804336,incident,KM0001363,closed,7.0,2013-04-05 10:17:00,2013-12-30 10:39:00,2013-12-30 10:40:00,1924111111.0,Other,1.0,SD0000105,2013,4,5,10,4
WBA000133,application,Web Based Application,WBS000073,IM0000082,Closed,4,4,4.0,0.039607326,incident,KM0001311,closed,6.0,2013-04-05 10:19:00,2013-12-05 12:00:00,2013-12-05 12:00:00,12232.0,Other,2.0,#MULTIVALUE,2013,4,5,10,4
WBA000124,application,Web Based Application,WBS000088,IM0000083,Closed,4,4,4.0,0.618856225,incident,KM0000611,closed,2.0,2013-04-09 12:49:00,2013-11-08 15:36:00,2013-11-08 15:36:00,1778691667.0,Software,1.0,SD0000106,2013,4,9,12,1
WBA000082,application,Web Based Application,WBS000055,IM0000084,Closed,4,4,4.0,0.572816912,incident,KM0000401,closed,4.0,2013-04-10 13:20:00,2013-11-08 15:41:00,2013-11-08 15:41:00,15668525.0,No error - works as designed,1.0,SD0000108,2013,4,10,13,2
WBA000124,application,Web Based Application,WBS000088,IM0000085,Closed,3,4,3.0,0.462625534,incident,KM0000611,closed,4.0,2013-04-10 15:13:00,2013-11-08 15:46:00,2013-11-08 15:46:00,1575543889.0,No error - works as designed,1.0,SD0000109,2013,4,10,15,2
SAP000004,application,SAP,WBS000271,IM0000088,Closed,5,5,5.0,0.773604774,request for information,KM0001264,closed,32.0,2013-04-16 11:07:00,2013-11-12 12:13:00,2013-11-12 12:13:00,706115.0,Other,2.0,#MULTIVALUE,2013,4,16,11,1
CBA000014,application,Client Based Application,WBS000073,IM0000089,Closed,4,4,4.0,0.001178621,incident,KM0001346,closed,9.0,2013-04-16 14:51:00,2013-11-27 14:23:00,2013-11-27 14:23:00,1638633056.0,Software,14.0,#MULTIVALUE,2013,4,16,14,1
SBA000045,application,Server Based Application,WBS000170,IM0000090,Closed,5,5,5.0,0.283634692,incident,KM0000565,closed,1.0,2013-04-17 09:06:00,2014-01-22 16:19:00,2014-01-22 16:20:00,2197.0,Unknown,1.0,SD0000113,2013,4,17,9,2
SBA000172,application,Server Based Application,WBS000014,IM0000091,Closed,4,4,4.0,0.485062587,incident,KM0000426,closed,1.0,2013-04-17 14:31:00,2013-10-08 11:19:00,2013-10-08 11:25:00,1390555556.0,Other,1.0,SD0000114,2013,4,17,14,2
SBA000607,application,Server Based Application,WBS000263,IM0000092,Closed,5,5,5.0,0.603933029,request for information,KM0000592,closed,12.0,2013-04-17 16:20:00,2014-01-30 09:19:00,2014-01-30 09:19:00,1042109167.0,Other,1.0,SD0000115,2013,4,17,16,2
SUB000002,subapplication,Citrix,WBS000098,IM0000094,Closed,4,4,4.0,0.388681292,incident,KM0001435,closed,4.0,2013-04-19 08:26:00,2013-10-16 12:20:00,2013-10-16 12:20:00,1326903056.0,Software,2.0,#MULTIVALUE,2013,4,19,8,4
STA000033,application,Standard Application,WBS000066,IM0000095,Closed,4,4,4.0,0.523734033,incident,KM0000575,closed,8.0,2013-04-22 12:07:00,2014-01-29 15:31:00,2014-01-29 15:31:00,2082408889.0,Software,1.0,SD0000119,2013,4,22,12,0
WBA000133,application,Web Based Application,WBS000073,IM0000098,Closed,4,5,4.0,0.895752799,incident,KM0000711,closed,1.0,2013-04-24 15:24:00,2013-10-12 16:28:00,2013-10-12 16:28:00,1252089167.0,Other,1.0,SD0000122,2013,4,24,15,2
SBA000782,application,Server Based Application,WBS000043,IM0000099,Closed,3,3,3.0,0.637701727,incident,KM0000220,closed,1.0,2013-04-25 10:20:00,2013-12-09 14:32:00,2013-12-09 14:32:00,1684207778.0,Other,1.0,SD0000125,2013,4,25,10,3
WBA000124,application,Web Based Application,WBS000088,IM0000100,Closed,4,4,4.0,0.20113793,incident,KM0000611,closed,8.0,2013-04-25 14:37:00,2013-11-12 13:32:00,2013-11-12 13:32:00,61785.0,Other,1.0,SD0000127,2013,4,25,14,3
WBA000116,application,Web Based Application,WBS000066,IM0000101,Closed,4,4,4.0,0.268451314,incident,KM0000579,closed,2.0,2013-04-25 14:51:00,2013-11-12 13:25:00,2013-11-12 13:26:00,1479086111.0,Hardware,1.0,SD0000128,2013,4,25,14,3
WBA000124,application,Web Based Application,WBS000088,IM0000103,Closed,4,4,4.0,0.222209962,incident,KM0000611,closed,4.0,2013-04-26 15:33:00,2013-11-12 13:33:00,2013-11-12 13:33:00,1468005278.0,Other,1.0,SD0000129,2013,4,26,15,4
WBA000124,application,Web Based Application,WBS000088,IM0000104,Closed,4,4,4.0,0.979540257,incident,KM0000611,closed,4.0,2013-05-01 11:47:00,2013-11-12 13:34:00,2013-11-12 13:34:00,2534444444.0,Other,1.0,SD0000131,2013,5,1,11,2
WBA000124,application,Web Based Application,WBS000088,IM0000105,Closed,5,5,5.0,0.109542654,incident,KM0000611,closed,9.0,2013-05-03 12:00:00,2014-01-09 14:27:00,2014-01-09 14:27:00,5578327778.0,Software,1.0,SD0000134,2013,5,3,12,4
SUB000508,subapplication,Web Based Application,WBS000162,IM0000106,Closed,4,4,4.0,0.587225966,incident,KM0000553,closed,4.0,2013-05-06 10:11:00,2013-11-12 13:35:00,2013-11-12 13:35:00,1754444444.0,Other,1.0,SD0000136,2013,5,6,10,0
WBA000124,application,Web Based Application,WBS000088,IM0000107,Closed,4,4,4.0,0.186114044,incident,KM0000611,closed,2.0,2013-05-06 13:50:00,2013-11-12 14:03:00,2013-11-12 14:03:00,1407219722.0,Unknown,1.0,SD0000137,2013,5,6,13,0
SBA000458,application,Server Based Application,WBS000073,IM0000109,Closed,4,4,4.0,0.982712191,incident,KM0001539,closed,8.0,2013-05-07 11:44:00,2013-12-20 15:33:00,2013-12-20 15:33:00,1570409167.0,Other,1.0,SD0000139,2013,5,7,11,1
SBA000033,application,Server Based Application,WBS000086,IM0000110,Closed,4,4,4.0,0.697089437,incident,KM0000041,closed,3.0,2013-05-07 11:44:00,2014-01-07 09:50:00,2014-01-07 09:50:00,3568333333.0,No error - works as designed,1.0,SD0000138,2013,5,7,11,1
WBA000124,application,Web Based Application,WBS000088,IM0000111,Closed,4,4,4.0,0.296831585,incident,KM0000611,closed,13.0,2013-05-07 14:04:00,2013-12-05 11:19:00,2013-12-05 11:19:00,1495071111.0,Other,1.0,SD0000141,2013,5,7,14,1
CBA000014,application,Client Based Application,WBS000073,IM0000112,Closed,5,5,5.0,0.965152363,incident,KM0001723,closed,15.0,2013-05-07 15:04:00,,2013-12-09 08:42:00,1248674444.0,Other,2.0,#MULTIVALUE,2013,5,7,15,1
WBA000124,application,Web Based Application,WBS000088,IM0000113,Closed,4,4,4.0,0.68115697,incident,KM0000611,closed,8.0,2013-05-07 15:12:00,2013-12-05 11:15:00,2013-12-05 11:16:00,6094080556.0,Other,1.0,SD0000142,2013,5,7,15,1
SBA000263,application,Server Based Application,WBS000072,IM0000114,Closed,5,5,5.0,0.06364679,request for information,KM0001116,closed,8.0,2013-05-10 11:04:00,2013-10-21 11:48:00,2013-10-21 11:48:00,1998261111.0,Other,2.0,#MULTIVALUE,2013,5,10,11,4
WBA000124,application,Web Based Application,WBS000088,IM0000115,Closed,3,3,3.0,0.232393197,incident,KM0000611,closed,2.0,2013-05-13 11:19:00,2013-11-12 13:38:00,2013-11-12 13:39:00,3370972222.0,Other,1.0,SD0000145,2013,5,13,11,0
WBA000024,application,Web Based Application,WBS000027,IM0000117,Closed,4,4,4.0,0.098705575,incident,KM0001424,closed,7.0,2013-05-15 12:34:00,2014-03-05 08:34:00,2014-03-05 08:34:00,5013388889.0,Software,2.0,#MULTIVALUE,2013,5,15,12,2
SBA000765,application,Server Based Application,WBS000300,IM0000120,Closed,3,3,3.0,0.231178197,incident,KM0001274,closed,6.0,2013-05-22 00:42:00,,2014-01-17 15:00:00,1775911667.0,Unknown,1.0,SD0000149,2013,5,22,0,2
WBA000124,application,Web Based Application,WBS000088,IM0000121,Closed,4,4,4.0,0.617566356,incident,KM0000611,closed,2.0,2013-05-22 10:09:00,2013-11-12 13:36:00,2013-11-12 13:36:00,1305462778.0,Other,1.0,SD0000150,2013,5,22,10,2
SBA000834,application,Server Based Application,WBS000223,IM0000122,Closed,4,4,4.0,0.564637939,incident,KM0000979,closed,22.0,2013-05-22 11:21:00,,2013-10-14 14:15:00,8251083333.0,Other,7.0,#MULTIVALUE,2013,5,22,11,2
WBA000124,application,Web Based Application,WBS000088,IM0000123,Closed,5,5,5.0,0.344261805,incident,KM0000611,closed,10.0,2013-05-22 12:01:00,2013-11-12 14:06:00,2013-11-12 14:06:00,1304083889.0,Other,1.0,SD0000151,2013,5,22,12,2
WBA000124,application,Web Based Application,WBS000088,IM0000124,Closed,4,4,4.0,0.231572675,incident,KM0000611,closed,4.0,2013-05-22 14:15:00,2013-11-12 14:05:00,2013-11-12 14:05:00,1301827778.0,Unknown,1.0,SD0000153,2013,5,22,14,2
SBA000176,application,Server Based Application,WBS000311,IM0000125,Closed,3,3,3.0,0.527580856,incident,KM0001274,closed,3.0,2013-05-23 10:48:00,2013-10-10 14:48:00,2013-10-10 14:49:00,5129722222.0,Other,1.0,SD0000152,2013,5,23,10,3
WBA000124,application,Web Based Application,WBS000088,IM0000126,Closed,4,4,4.0,0.765434029,incident,KM0000611,closed,2.0,2013-05-23 14:38:00,2013-11-12 13:37:00,2013-11-12 13:37:00,1290483611.0,Other,1.0,SD0000155,2013,5,23,14,3
SBA000782,application,Server Based Application,WBS000043,IM0000127,Closed,3,3,3.0,0.338412806,incident,KM0001763,closed,1.0,2013-05-24 08:05:00,2013-10-17 14:23:00,2013-10-17 14:23:00,1098304722.0,Other,3.0,#MULTIVALUE,2013,5,24,8,4
WBA000094,application,Web Based Application,WBS000073,IM0000128,Closed,4,4,4.0,0.714684316,incident,KM0001732,closed,0.0,2013-05-24 09:34:00,2013-12-05 08:27:00,2013-12-05 08:28:00,1456698056.0,Other,3.0,#MULTIVALUE,2013,5,24,9,4
SBA000301,application,Server Based Application,WBS000142,IM0000129,Closed,4,4,4.0,0.734281231,request for information,KM0000647,closed,10.0,2013-05-27 10:44:00,2014-01-16 15:12:00,2014-01-16 15:12:00,7628972222.0,Software,1.0,SD0000156,2013,5,27,10,0
SUB000508,subapplication,Web Based Application,WBS000162,IM0000130,Closed,4,4,4.0,0.084297089,incident,KM0000553,closed,2.0,2013-05-27 15:38:00,2013-11-12 13:41:00,2013-11-12 13:41:00,12685475.0,Other,1.0,SD0000157,2013,5,27,15,0
SBA000480,application,Server Based Application,WBS000109,IM0000131,Closed,5,5,5.0,0.48018606,incident,KM0000530,closed,5.0,2013-05-27 16:28:00,2013-11-05 10:36:00,2013-11-05 10:36:00,9966208333.0,No error - works as designed,1.0,SD0000158,2013,5,27,16,0
SAP000003,application,SAP,WBS000271,IM0000132,Closed,5,5,5.0,0.959622117,request for information,KM0001163,closed,12.0,2013-05-29 09:15:00,2013-10-10 13:40:00,2013-10-10 13:40:00,3676269444.0,Software,1.0,SD0000160,2013,5,29,9,2
SBA000263,application,Server Based Application,WBS000072,IM0000133,Closed,5,5,5.0,0.199091024,request for information,KM0001112,closed,6.0,2013-05-30 14:28:00,2013-11-05 15:15:00,2013-11-05 15:15:00,8324694444.0,Other,2.0,#MULTIVALUE,2013,5,30,14,3
WBA000082,application,Web Based Application,WBS000055,IM0000134,Closed,3,3,3.0,0.351627289,incident,KM0000401,closed,2.0,2013-05-31 09:20:00,2013-11-12 13:42:00,2013-11-12 13:43:00,1071944444.0,Other,1.0,SD0000162,2013,5,31,9,4
SUB000508,subapplication,Web Based Application,WBS000162,IM0000135,Closed,4,4,4.0,0.099276903,incident,KM0000553,closed,4.0,2013-06-03 10:09:00,2013-11-12 13:47:00,2013-11-12 13:47:00,1221629167.0,Other,1.0,SD0000163,2013,6,3,10,0
WBA000082,application,Web Based Application,WBS000055,IM0000136,Closed,4,4,4.0,0.992261495,incident,KM0000401,closed,2.0,2013-06-04 09:25:00,2013-11-12 13:38:00,2013-11-12 13:38:00,1211729444.0,Other,1.0,SD0000164,2013,6,4,9,1
WBA000124,application,Web Based Application,WBS000088,IM0000137,Closed,4,4,4.0,0.360881069,incident,KM0000611,closed,2.0,2013-06-04 10:00:00,2013-11-12 13:42:00,2013-11-12 13:42:00,1211214167.0,Other,1.0,SD0000165,2013,6,4,10,1
SBA000045,application,Server Based Application,WBS000170,IM0000139,Closed,4,4,4.0,0.56691083,incident,KM0000565,closed,3.0,2013-06-04 16:13:00,2014-01-29 10:47:00,2014-01-29 10:47:00,7320833333.0,Unknown,2.0,#MULTIVALUE,2013,6,4,16,1
SUB000545,subapplication,Web Based Application,WBS000073,IM0000140,Closed,5,5,5.0,0.399095833,incident,KM0000795,closed,1.0,2013-06-05 08:24:00,2013-11-20 16:43:00,2013-11-20 16:43:00,1268319167.0,Software,1.0,SD0000169,2013,6,5,8,2
SAP000004,application,SAP,WBS000271,IM0000142,Closed,5,5,5.0,0.602360706,request for information,KM0001269,closed,15.0,2013-06-06 08:54:00,2013-10-23 17:21:00,2013-10-23 17:21:00,6301172222.0,Questions,2.0,#MULTIVALUE,2013,6,6,8,3
SBA000834,application,Server Based Application,WBS000223,IM0000143,Closed,4,4,4.0,0.428121508,incident,KM0001509,closed,6.0,2013-06-06 11:14:00,2013-12-04 14:54:00,2013-12-04 14:54:00,1320549722.0,Operator error,4.0,#MULTIVALUE,2013,6,6,11,3
WBA000133,application,Web Based Application,WBS000073,IM0000145,Closed,4,5,4.0,0.587638286,incident,KM0000711,closed,15.0,2013-06-10 08:53:00,2013-11-15 15:27:00,2013-11-15 15:27:00,7014891667.0,Unknown,1.0,SD0000171,2013,6,10,8,0
STA000033,application,Standard Application,WBS000066,IM0000146,Closed,3,3,3.0,0.939614352,incident,KM0000575,closed,3.0,2013-06-10 13:00:00,2014-01-29 14:30:00,2014-01-29 14:31:00,1575072222.0,Other,1.0,SD0000173,2013,6,10,13,0
WBA000082,application,Web Based Application,WBS000055,IM0000147,Closed,4,4,4.0,0.139540592,incident,KM0000401,closed,26.0,2013-06-10 16:33:00,2013-11-12 14:18:00,2013-11-12 14:18:00,1163259722.0,No error - works as designed,1.0,SD0000175,2013,6,10,16,0
WBA000124,application,Web Based Application,WBS000088,IM0000148,Closed,4,4,4.0,0.402756938,incident,KM0000611,closed,2.0,2013-06-10 16:44:00,2013-11-12 13:42:00,2013-11-12 13:43:00,1162483333.0,Other,1.0,SD0000176,2013,6,10,16,0
WBA000124,application,Web Based Application,WBS000088,IM0000149,Closed,4,4,4.0,0.884999664,incident,KM0000611,closed,5.0,2013-06-11 10:28:00,2013-10-16 14:09:00,2013-10-16 14:09:00,3120383333.0,Software,2.0,#MULTIVALUE,2013,6,11,10,1
WBA000124,application,Web Based Application,WBS000088,IM0000152,Closed,4,4,4.0,0.686274493,incident,KM0000611,closed,7.0,2013-06-12 16:48:00,2013-11-12 14:05:00,2013-11-12 14:05:00,1140922778.0,Other,1.0,SD0000180,2013,6,12,16,2
WBA000124,application,Web Based Application,WBS000088,IM0000153,Closed,4,4,4.0,0.135839878,incident,KM0000611,closed,2.0,2013-06-12 14:57:00,2013-11-12 13:44:00,2013-11-12 13:44:00,1143280556.0,Other,1.0,SD0000179,2013,6,12,14,2
